Entry Name,GLP1R_3PA_GLP1_1 MaxLFQ Intensity,GLP1R_3PA_GLP1_2 MaxLFQ Intensity,GLP1R_3PA_GLP1_3 MaxLFQ Intensity,GLP1R_3PA_GLP1_4 MaxLFQ Intensity,GLP1R_3PA_VEH_1 MaxLFQ Intensity,GLP1R_3PA_VEH_2 MaxLFQ Intensity,GLP1R_3PA_VEH_3 MaxLFQ Intensity,GLP1R_3PA_VEH_4 MaxLFQ Intensity,GLP1R_WT_GLP1_1 MaxLFQ Intensity,GLP1R_WT_GLP1_2 MaxLFQ Intensity,GLP1R_WT_GLP1_3 MaxLFQ Intensity,GLP1R_WT_GLP1_4 MaxLFQ Intensity,GLP1R_WT_VEH_1 MaxLFQ Intensity,GLP1R_WT_VEH_2 MaxLFQ Intensity,GLP1R_WT_VEH_3 MaxLFQ Intensity,GLP1R_WT_VEH_4 MaxLFQ Intensity,NEG_1 MaxLFQ Intensity
ACTG_RAT,2064378.4,1684115.2,1630743.4,1718393.9,1636901.0,1635033.1,1763882.8,1835627.8,1611959.5,1420214.4,1542679.5,1434740.8,1633080.0,1665842.5,2219293.5,1816151.0,1472335.2
UBC9_HUMAN,36854.273,0.0,35400.17,34280.52,32800.8,30154.098,36908.574,38448.2,31104.957,29205.473,33741.316,0.0,33734.074,24603.77,34907.406,34244.938,48734.55
RALA_RAT,49940.273,39098.453,41674.58,52861.26,43401.84,45771.656,44327.3,39304.613,42773.21,47598.473,45695.344,44333.273,39947.926,43869.363,44728.113,48121.555,28973.602
RS10_RAT,6920929.0,7427811.0,7122837.5,7253785.5,7930586.0,7099847.5,6920214.0,7150003.5,7098785.5,7466736.5,7327975.5,6771031.5,7815381.0,7557634.0,7510066.0,7733414.0,5036687.0
PP2AA_RAT,63172.684,72555.31,71108.31,69799.85,59965.938,63594.234,67116.81,65984.29,66433.98,66305.6,73589.3,62449.668,64102.652,68642.13,69338.16,65208.973,55236.56
PHB1_RAT,89312.34,91941.195,90046.1,94816.84,90122.78,92794.99,94693.33,90005.18,89472.35,103382.266,99462.086,105824.89,96045.734,98961.55,98844.52,98429.52,77057.6
CSK2B_RAT,23377.348,0.0,9445.98,18483.193,16347.212,0.0,0.0,0.0,12043.932,18142.889,17484.227,16203.294,18516.799,24731.78,22760.395,24442.514,0.0
ACTC_RAT,1274097.1,1062199.5,1066767.5,1159896.5,997607.06,1090896.9,1133596.0,1069380.9,1057973.9,979651.4,1026348.25,1061453.2,1014805.0,1046498.6,1264783.9,1066993.8,797070.5
IF2A_RAT,134557.73,136619.9,138969.1,137514.31,137413.62,132362.69,125498.62,126655.41,127957.375,126671.22,111143.7,127049.18,121316.25,120666.02,108956.29,118569.73,147866.55
KAPCB_RAT,64823.633,70850.64,68936.25,69163.26,64745.5,64131.934,68624.29,70529.78,68161.02,73448.2,68635.33,68179.125,72246.54,73422.25,74618.164,72529.39,74534.914
1433T_RAT,108124.69,106247.12,98742.27,103683.95,95136.54,96262.62,106833.516,98724.836,109834.5,106419.26,115816.55,113112.35,121178.25,126885.22,122401.42,125774.84,63309.54
TBA1A_RAT,1363903.2,1482745.0,1349824.2,1367499.5,1280665.8,1298581.6,1360574.8,1328497.6,1515857.8,1519508.6,1484894.5,1563985.9,1482788.1,1495551.1,1580626.1,1736405.8,831926.06
1433F_RAT,50710.973,45942.332,48194.484,45353.574,38771.35,45147.46,60028.457,47197.98,43421.227,47524.875,47664.84,59440.91,47981.613,51163.53,47253.344,45172.434,55934.895
EDF1_RAT,181209.52,186842.47,178943.4,183679.02,201584.23,188993.4,174823.84,190804.5,164328.62,173300.94,174548.56,180928.88,201273.64,194570.97,180342.6,193238.2,198139.11
